id;kolejnosc;symbol;nazwa;opis;dataKoncaObowiazywania;dataPoczatkuObowiazywania;elementNadrzednyId;elementNadrzednyUuid;uuid;iloscKresekCn;jednostkiMiara;kluczCn;opisNieobejmuje;opisObejmuje;opisObejmujeNieobejmuje;opisObejmujeTakze;przeszleZdarzenia;uwagi;wygenerowany;zmianyOdPoprzedniejWersji;znakZmianCn;numerPoziomu
26187;11;01.14.Z;Uprawa trzciny cukrowej;;;;0;E56E5F77-282F-4CFD-B6E6-B7540DD3B74C;E9A5BE7E-5121-4C88-A415-B4EEB417D25C;; ;;;;;;;;;;;5
26188;12;01.15;Uprawa tytoniu;;;;0;5FBA5907-DB56-4FA4-B712-D14BAA176F9F;313A6D34-5DDE-4916-99E2-1552BF4910C0;; ;;;;;;;;;;;4
26189;13;01.15.Z;Uprawa tytoniu;;;;0;313A6D34-5DDE-4916-99E2-1552BF4910C0;82F257D1-43CB-4653-8163-3478C5E85E1A;; ;;;;<body><h2>01.15.Z</h2><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji wyrobów tytoniowych, sklasyfikowanej w 12.00.Z </li></ul></body>;;;;;;;5
26190;14;01.16;Uprawa roślin włóknistych;;;;0;5FBA5907-DB56-4FA4-B712-D14BAA176F9F;3AE1DF43-9DD7-4F7D-AFBD-16D896233BA4;; ;;;;;;;;;;;4
26191;15;01.16.Z;Uprawa roślin włóknistych;;;;0;3AE1DF43-9DD7-4F7D-AFBD-16D896233BA4;D623EF58-12D3-43B3-B014-1F86625EC281;; ;;;;<body><h2>01.16.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>uprawę bawełny, </li><li>uprawę juty, ketmii konopiowatej i pozostałych roślin na włókna łykowe,</li><li>uprawę lnu i konopi, </li><li>uprawę sizalu i pozostałych roślin z rodziny agawy na włókna tekstylne,</li><li>uprawę konopi manilskich, ramii i pozostałych roślin na włókna tekstylne, </li><li>uprawę pozostałych roślin włóknistych,</li><li>roszenie roślin włóknistych przeprowadzane w warunkach naturalnych. </li></ul></body>;;;;;;;5
26192;16;01.19;Pozostałe uprawy rolne inne niż wieloletnie;;;;0;5FBA5907-DB56-4FA4-B712-D14BAA176F9F;1AD6C385-B1C4-4928-8310-259DBC611550;; ;;;;;;;;;;;4
26193;17;01.19.Z;Pozostałe uprawy rolne inne niż wieloletnie;;;;0;1AD6C385-B1C4-4928-8310-259DBC611550;8B9DE99A-8DDD-405E-9EDB-8CA11F9140BA;; ;;;;<body><h2>01.19.Z</h2><p>Podklasa ta obejmuje pozostałe uprawy rolne inne niż wieloletnie, takie jak: </p><ul><li>uprawa brukwi, buraków pastewnych, korzeni pastewnych, koniczyny, lucerny (alfalfa), esparcety, kukurydzy pastewnej i pozostałych traw innych niż rośliny wieloletnie, kapusty pastewnej i podobnych roślin pastewnych,</li><li>uprawa gryki, </li><li>produkcja nasion buraka pastewnego, </li><li>produkcja nasion pozostałych roślin pastewnych, </li><li>uprawa kwiatów, </li><li>produkcja kwiatów ciętych oraz pączków kwiatowych, </li><li>produkcja nasion kwiatów. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji nasion buraka cukrowego, sklasyfikowanej w 01.13.Z, </li><li>uprawy roślin przyprawowych, aromatycznych innych niż rośliny wieloletnie, do produkcji leków i wyrobów farmaceutycznych, sklasyfikowanej w 01.28.Z. </li></ul></body>;;;;;;;5
26194;18;01.2;Uprawa roślin wieloletnich;;;;0;EA3BA8CE-481B-4B8E-AEE0-8CBB3732F9D9;F6D2EC53-80F2-4983-9BDF-18FCEF17FF73;; ;;;;<body><h2>01.2</h2><p>Grupa ta obejmuje: </p><ul><li>uprawę roślin wieloletnich, tj. uprawę roślin, które rosną dłużej niż przez dwa sezony wzrostu, bez względu na to, czy rośliny te obumierają po każdym sezonie, czy też stale rosną, </li><li>uprawę roślin wieloletnich w celu produkcji nasion. </li></ul></body>;;;;;;;3
26195;19;01.21;Uprawa winogron;;;;0;F6D2EC53-80F2-4983-9BDF-18FCEF17FF73;7B688FFC-A818-457F-8642-7A18A502A4C6;; ;;;;;;;;;;;4
26196;20;01.21.Z;Uprawa winogron;;;;0;7B688FFC-A818-457F-8642-7A18A502A4C6;922F4AE1-7E74-42AB-A1F8-4EE3040DD8F5;; ;;;;<body><h2>01.21.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>uprawę winogron na wino i winogron stołowych w winnicach. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji wina, sklasyfikowanej w 11.02.Z. </li></ul></body>;;;;;;;5
26197;21;01.22;Uprawa drzew i krzewów owocowych tropikalnych i podzwrotnikowych;;;;0;F6D2EC53-80F2-4983-9BDF-18FCEF17FF73;E57B6419-9967-414C-8321-EB1932937593;; ;;;;;;;;;;;4
26198;22;01.22.Z;Uprawa drzew i krzewów owocowych tropikalnych i podzwrotnikowych;;;;0;E57B6419-9967-414C-8321-EB1932937593;6826FAE8-1032-44D6-AC12-8667C6737C5C;; ;;;;<body><h2>01.22.Z</h2><p>Podklasa ta obejmuje uprawę drzew i krzewów owocowych tropikalnych i podzwrotnikowych: </p><ul><li>awokado, </li><li>bananów i plantanów, </li><li>daktyli, </li><li>fig, </li><li>mango, </li><li>papai, </li><li>ananasów, </li><li>pozostałych drzew i krzewów owocowych tropikalnych i podzwrotnikowych. </li></ul></body>;;;;;;;5
26199;23;01.23;Uprawa drzew i krzewów owocowych cytrusowych;;;;0;F6D2EC53-80F2-4983-9BDF-18FCEF17FF73;9F4CA389-E811-42D9-A232-F73E9A436121;; ;;;;;;;;;;;4
26200;24;01.23.Z;Uprawa drzew i krzewów owocowych cytrusowych;;;;0;9F4CA389-E811-42D9-A232-F73E9A436121;FC8CE41A-DD5E-4C3D-8F80-D954349FC724;; ;;;;<body><h2>01.23.Z</h2><p>Podklasa ta obejmuje uprawę drzew i krzewów owocowych cytrusowych: </p><ul><li>grejpfrutów i pomelo,</li><li>cytryn i limonek,</li><li>pomarańczy, </li><li>mandarynek, w tym klementynek, </li><li>pozostałych drzew i krzewów owocowych cytrusowych. </li></ul></body>;;;;;;;5
26201;25;01.24;Uprawa drzew i krzewów owocowych ziarnkowych i pestkowych;;;;0;F6D2EC53-80F2-4983-9BDF-18FCEF17FF73;399CC483-E450-40F8-9A71-C25D7DE51D11;; ;;;;;;;;;;;4
26202;26;01.24.Z;Uprawa drzew i krzewów owocowych ziarnkowych i pestkowych;;;;0;399CC483-E450-40F8-9A71-C25D7DE51D11;A19CC267-D799-403D-A5CC-857A4E2DE5A7;; ;;;;<body><h2>01.24.Z</h2><p>Podklasa ta obejmuje uprawę drzew i krzewów owocowych ziarnkowych i pestkowych: </p><ul><li>jabłoni, </li><li>moreli, </li><li>czereśni i wiśni, </li><li>brzoskwiń i nektarynek, </li><li>gruszy,</li><li>pigwy, </li><li>śliwy i tarniny, </li><li>pozostałych drzew i krzewów owocowych ziarnkowych i pestkowych. </li></ul></body>;;;;;;;5
26203;27;01.25;Uprawa pozostałych drzew i krzewów owocowych oraz orzechów;;;;0;F6D2EC53-80F2-4983-9BDF-18FCEF17FF73;52B80359-EA11-4875-967B-55DE1C82B590;; ;;;;;;;;;;;4
26204;28;01.25.Z;Uprawa pozostałych drzew i krzewów owocowych oraz orzechów;;;;0;52B80359-EA11-4875-967B-55DE1C82B590;2EB5F08C-3A71-4397-B59E-10494C737753;; ;;;;<body><h2>01.25.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>uprawę drzew i krzewów owocowych jagodowych: <ul><li>czarnej borówki, </li><li>porzeczek, </li><li>agrestu, </li><li>owoców kiwi, </li><li>malin, </li><li>truskawek, </li><li>pozostałych drzew i krzewów owocowych jagodowych, </li></ul></li><li>produkcję nasion owoców, </li><li>uprawę orzechów jadalnych: <ul><li>migdałów, </li><li>orzechów nerkowca, </li><li>kasztanów jadalnych, </li><li>orzechów laskowych, </li><li>orzeszków pistacjowych, </li><li>orzechów włoskich, </li><li>pozostałych orzechów, </li></ul></li><li>uprawę pozostałych drzew i krzewów owocowych: <ul><li>chleba świętojańskiego. </li></ul></li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>uprawy orzechów kokosowych, sklasyfikowanej w 01.26.Z. </li></ul></body>;;;;;;;5
26205;29;01.26;Uprawa drzew oleistych;;;;0;F6D2EC53-80F2-4983-9BDF-18FCEF17FF73;8B5B4EA4-05B0-4909-B264-75D5A5F4E7DF;; ;;;;;;;;;;;4
26206;30;01.26.Z;Uprawa drzew oleistych;;;;0;8B5B4EA4-05B0-4909-B264-75D5A5F4E7DF;8D538685-717A-4E0D-8723-4B09B97944DF;; ;;;;<body><h2>01.26.Z</h2><p>Podklasa ta obejmuje uprawę drzew oleistych na owoce: </p><ul><li>orzechów kokosowych, </li><li>oliwek, </li><li>olejowców, </li><li>pozostałych drzew oleistych. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji nasion soi, orzechów ziemnych i pozostałych nasion oleistych, sklasyfikowanej w 01.11.Z. </li></ul></body>;;;;;;;5
26207;31;01.27;Uprawa roślin wykorzystywanych do produkcji napojów;;;;0;F6D2EC53-80F2-4983-9BDF-18FCEF17FF73;5E9C0E95-2A50-4EDB-BE16-D7DD32D0B0B3;; ;;;;;;;;;;;4
26208;32;01.27.Z;Uprawa roślin wykorzystywanych do produkcji napojów;;;;0;5E9C0E95-2A50-4EDB-BE16-D7DD32D0B0B3;52632DDD-303C-4F45-9E52-4197E5C32F94;; ;;;;"<body><h2>01.27.Z</h2><p>Podklasa ta obejmuje uprawę roślin wykorzystywanych do produkcji napojów: </p><ul><li>kawy, </li><li>herbaty, </li><li>mat&eacute; (herbaty paragwajskiej), </li><li>kakao, </li><li>pozostałych roślin wykorzystywanych do produkcji napojów. </li></ul></body>";;;;;;;5
26209;33;01.28;Uprawa roślin przyprawowych i aromatycznych oraz roślin wykorzystywanych do produkcji leków i wyrobów farmaceutycznych;;;;0;F6D2EC53-80F2-4983-9BDF-18FCEF17FF73;FF19EB70-6929-419D-8855-29BA8C8543E0;; ;;;;;;;;;;;4
26210;34;01.28.Z;Uprawa roślin przyprawowych i aromatycznych oraz roślin wykorzystywanych do produkcji leków i wyrobów farmaceutycznych;;;;0;FF19EB70-6929-419D-8855-29BA8C8543E0;EBD36384-946C-404F-BBAA-2223FDB92A91;; ;;;;<body><h2>01.28.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>uprawę roślin przyprawowych i aromatycznych: <ul><li>pieprzu (z rodzaju <em>Piper</em>), </li><li>chili i papryki słodkiej (z rodzaju <em>Capsicum</em>), </li><li>gałki muszkatołowej i kardamonu, </li><li>anyżu, </li><li>badianu i kopru włoskiego, </li><li>cynamonu, </li><li>goździków, </li><li>imbiru, </li><li>wanilii, </li><li>chmielu, </li><li>pozostałych roślin przyprawowych i aromatycznych, </li></ul></li><li>uprawę roślin wykorzystywanych do produkcji leków, środków odurzających i wyrobów farmaceutycznych, </li><li>uprawę roślin wykorzystywanych do wyrobu środków owadobójczych, grzybobójczych lub podobnych celów. </li></ul></body>;;;;;;;5
26211;35;01.29;Uprawa pozostałych roślin wieloletnich;;;;0;F6D2EC53-80F2-4983-9BDF-18FCEF17FF73;C67A13ED-54F4-4058-8BEA-01F7127C3B56;; ;;;;;;;;;;;4
26212;36;01.29.Z;Uprawa pozostałych roślin wieloletnich;;;;0;C67A13ED-54F4-4058-8BEA-01F7127C3B56;4146E217-32B4-4519-9735-AE8ED205A00E;; ;;;;<body><h2>01.29.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>uprawę drzew kauczukowych w celu zbierania mleczka kauczukowego (lateksu),</li><li>uprawę choinek świątecznych na gruntach rolnych, </li><li>uprawę drzew w celu uzyskania soków, </li><li>uprawę roślin wieloletnich używanych do wyplatania.</li></ul><p>Podklasa nie obejmuje: </p><ul><li>uprawy kwiatów oraz produkcji kwiatów ciętych i pączków kwiatowych, sklasyfikowanych w 01.19.Z, </li><li>zbierania soków lub żywic gumopodobnych z drzew dziko rosnących, sklasyfikowanego w 02.30.Z. </li></ul></body>;;;;;;;5
26213;37;01.3;Rozmnażanie roślin;;;;0;EA3BA8CE-481B-4B8E-AEE0-8CBB3732F9D9;CC6D58DE-9345-4BBF-AD54-30367C5CEA88;; ;;;;;;;;;;;3
26214;38;01.30;Rozmnażanie roślin;;;;0;CC6D58DE-9345-4BBF-AD54-30367C5CEA88;E360C96C-AF64-4E21-A865-52B5733FD701;; ;;;;;;;;;;;4
26215;39;01.30.Z;Rozmnażanie roślin;;;;0;E360C96C-AF64-4E21-A865-52B5733FD701;D2B0CED0-E2FA-49DB-B5CB-43C54FCF10C5;; ;;;;"<body><h2>01.30.Z</h2><p>Podklasa ta obejmuje produkcję roślinnych materiałów wegetatywnych, włączając sadzonki, odrosty i rozsady przeznaczone do bezpośredniego rozmnażania roślin lub gromadzenia szczepów roślinnych, do których zaszczepiany jest wybrany szczep, do ewentualnego obsadzania upraw. </p><p>Podklasa ta obejmuje: </p><ul><li>uprawę roślin do rozmnażania, </li><li>uprawę roślin ozdobnych, włączając darń do przesadzania, </li><li>uprawę roślin dla cebulek, bulw i korzeni; sadzonki i szczepy, </li><li>uprawę grzybni, włączając podłoże z wsianą grzybnią, </li><li>uprawę szkółkarską, z wyłączeniem szkółek leśnych. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>uprawy roślin do produkcji nasion, sklasyfikowanej w odpowiednich podklasach grup 01.1 i 01.2, </li><li>działalności szkółek leśnych, sklasyfikowanej w 02.10.Z, </li><li>produkcji podłoża bez wsianej grzybni, sklasyfikowanej w 20.15.Z.</li></ul></body>";;;;;;;5
26216;40;01.4;Chów i hodowla zwierząt;;;;0;EA3BA8CE-481B-4B8E-AEE0-8CBB3732F9D9;939A8238-9DEF-4EF4-ABCC-27110CCAA3A8;; ;;;;;;;;;;;3
26217;41;01.41;Chów i hodowla bydła mlecznego;;;;0;939A8238-9DEF-4EF4-ABCC-27110CCAA3A8;58DE648B-5D19-44F9-9F62-752894D2789E;; ;;;;;;;;;;;4
26218;42;01.41.Z;Chów i hodowla bydła mlecznego;;;;0;58DE648B-5D19-44F9-9F62-752894D2789E;2466340D-3359-46C2-BAB4-7ACE9E4B6962;; ;;;;<body><h2>01.41.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>chów i hodowlę bydła mlecznego, </li><li>produkcję surowego mleka krowiego lub z bawołów. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>przetwórstwa mleka, sklasyfikowanego w 10.51.Z </li></ul></body>;;;;;;;5
26219;43;01.42;Chów i hodowla pozostałego bydła i bawołów;;;;0;939A8238-9DEF-4EF4-ABCC-27110CCAA3A8;C412B259-ABF2-4724-9B2C-8B4E6A3BCC4B;; ;;;;;;;;;;;4
26220;44;01.42.Z;Chów i hodowla pozostałego bydła i bawołów;;;;0;C412B259-ABF2-4724-9B2C-8B4E6A3BCC4B;6FE1EFD1-094F-46E8-911E-D4D5C6C354DA;; ;;;;<body><h2>01.42.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>chów i hodowlę bydła i bawołów na mięso, </li><li>produkcję nasienia bydlęcego. </li></ul></body>;;;;;;;5
26221;45;01.43;Chów i hodowla koni i pozostałych zwierząt koniowatych;;;;0;939A8238-9DEF-4EF4-ABCC-27110CCAA3A8;3CC9568F-C8E7-40AA-BC1B-A265102B9D96;; ;;;;;;;;;;;4
26222;46;01.43.Z;Chów i hodowla koni i pozostałych zwierząt koniowatych;;;;0;3CC9568F-C8E7-40AA-BC1B-A265102B9D96;3C17EAAD-DD73-48ED-8549-44D73547F609;; ;;;;<body><h2>01.43.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>chów i hodowlę koni, osłów, mułów lub osłomułów, </li><li>produkcję nasienia ogierów. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>działalności stajni koni wyścigowych, sklasyfikowanej w 93.19.Z. </li></ul></body>;;;;;;;5
26223;47;01.44;Chów i hodowla wielbłądów i zwierząt wielbłądowatych;;;;0;939A8238-9DEF-4EF4-ABCC-27110CCAA3A8;2D2464F2-5AA5-49A6-A669-D002E3D833D8;; ;;;;;;;;;;;4
26224;48;01.44.Z;Chów i hodowla wielbłądów i zwierząt wielbłądowatych;;;;0;2D2464F2-5AA5-49A6-A669-D002E3D833D8;7A18EECD-3B76-4A3C-BCBA-B429B5327391;; ;;;;<body><h2>01.44.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>chów i hodowlę wielbłądów (dromaderów) i zwierząt wielbłądowatych. </li></ul></body>;;;;;;;5
26225;49;01.45;Chów i hodowla owiec i kóz;;;;0;939A8238-9DEF-4EF4-ABCC-27110CCAA3A8;AF075C79-9694-40E3-B188-46EFCC09DF60;; ;;;;;;;;;;;4
26226;50;01.45.Z;Chów i hodowla owiec i kóz;;;;0;AF075C79-9694-40E3-B188-46EFCC09DF60;6837A0AD-43B2-4498-9043-BB89CD11D645;; ;;;;<body><h2>01.45.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>chów i hodowlę owiec i kóz, </li><li>produkcję surowego mleka owczego i koziego, </li><li>produkcję surowej wełny,</li><li>produkcję nasienia kozłów i tryków. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>strzyżenia owiec, wykonywanego na zlecenie, sklasyfikowanego w 01.62.Z, </li><li>produkcji wełny surowej poubojowej, sklasyfikowanej w 10.11.Z, </li><li>przetwórstwa mleka, sklasyfikowanego w 10.51.Z. </li></ul></body>;;;;;;;5
26227;51;01.46;Chów i hodowla świń;;;;0;939A8238-9DEF-4EF4-ABCC-27110CCAA3A8;74A1DC05-038A-4851-80CB-EE9E66F528E4;; ;;;;;;;;;;;4
26228;52;01.46.Z;Chów i hodowla świń;;;;0;74A1DC05-038A-4851-80CB-EE9E66F528E4;D3C41349-9BB8-43D2-B538-90488EA647B4;; ;;;;<body><h2>01.46.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>chów i hodowlę świń, </li><li>produkcję nasienia knurów. </li></ul></body>;;;;;;;5
26229;53;01.47;Chów i hodowla drobiu;;;;0;939A8238-9DEF-4EF4-ABCC-27110CCAA3A8;67BF7AFD-7505-464F-9F4B-DC0F4D4F8886;; ;;;;;;;;;;;4
26230;54;01.47.Z;Chów i hodowla drobiu;;;;0;67BF7AFD-7505-464F-9F4B-DC0F4D4F8886;82603D87-0A73-4013-AF44-A3FCF0538E0B;; ;;;;<body><h2>01.47.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>chów i hodowlę ptactwa domowego z gatunku ?<em>Gallus domesticus</em>?, indyków, kaczek, gęsi i perliczek, </li><li>produkcję jaj, </li><li>działalność wylęgarni drobiu. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji pierza i puchu, sklasyfikowanej w 10.12.Z. </li></ul></body>;;;;;;;5
26231;55;01.49;Chów i hodowla pozostałych zwierząt;;;;0;939A8238-9DEF-4EF4-ABCC-27110CCAA3A8;E92E823E-C043-4B7C-855E-BAA67F0C46A3;; ;;;;;;;;;;;4
